"id","time","username","sensor","value1","value2","value3"
70804,"2015-06-18 15:18:05","YJLDC76AR6","1",1.7238252,2.6431987,9.155427
70808,"2015-06-18 15:18:10","YJLDC76AR6","1",1.4939818,2.6048915,9.232041
70812,"2015-06-18 15:18:15","YJLDC76AR6","1",1.436521,2.566584,9.270349
70817,"2015-06-18 15:18:20","YJLDC76AR6","1",1.283292,2.5091233,9.289502
70821,"2015-06-18 15:18:25","YJLDC76AR6","1",1.4556746,2.5091233,9.212888
70825,"2015-06-18 15:18:30","YJLDC76AR6","1",1.4748282,2.6240451,9.289502
70830,"2015-06-18 15:18:36","YJLDC76AR6","1",1.6280571,2.4516625,9.155427
70834,"2015-06-18 15:18:41","YJLDC76AR6","1",1.532289,2.1643584,9.423578
70839,"2015-06-18 15:18:46","YJLDC76AR6","1",1.7046716,1.8962077,9.959879
70844,"2015-06-18 15:18:51","YJLDC76AR6","1",2.0685902,2.3558946,9.672575
70849,"2015-06-18 15:18:56","YJLDC76AR6","1",1.4556746,2.5091233,8.7532015
70854,"2015-06-18 15:19:01","YJLDC76AR6","1",1.1300632,2.0685902,9.3661175
70860,"2015-06-18 15:19:07","YJLDC76AR6","1",0.8619126,1.8195933,9.385271
70866,"2015-06-18 15:19:12","YJLDC76AR6","1",1.2066777,2.432509,9.136273
70871,"2015-06-18 15:19:17","YJLDC76AR6","1",0.1340753,2.7006595,9.3661175
70875,"2015-06-18 15:19:22","YJLDC76AR6","1",0.2873042,2.7964275,9.021352
70879,"2015-06-18 15:19:27","YJLDC76AR6","1",0.36391866,2.681506,9.11712
70884,"2015-06-18 15:19:33","YJLDC76AR6","1",0.1340753,3.083732,8.887277
70888,"2015-06-18 15:19:38","YJLDC76AR6","1",0.076614454,3.217807,8.848969
70893,"2015-06-18 15:19:43","YJLDC76AR6","1",0.59376204,3.122039,9.308656
70898,"2015-06-18 15:19:48","YJLDC76AR6","1",1.9728222,3.1986535,8.580819
70902,"2015-06-18 15:19:53","YJLDC76AR6","1",0.7278373,3.1986535,8.829816
70907,"2015-06-18 15:19:58","YJLDC76AR6","1",1.6663644,2.681506,8.810662
70912,"2015-06-18 15:20:04","YJLDC76AR6","1",1.0342951,3.4284968,8.925584
70917,"2015-06-18 15:20:09","YJLDC76AR6","1",1.4173675,3.122039,8.983045
70921,"2015-06-18 15:20:14","YJLDC76AR6","1",1.1492168,2.96881,9.002198
70926,"2015-06-18 15:20:19","YJLDC76AR6","1",1.2066777,2.9496565,9.040505
70930,"2015-06-18 15:20:24","YJLDC76AR6","1",1.5705963,2.7006595,9.040505
70935,"2015-06-18 15:20:30","YJLDC76AR6","1",1.0151415,3.5434184,8.829816
70940,"2015-06-18 15:20:35","YJLDC76AR6","1",0.93852705,3.4284968,8.963891
70945,"2015-06-18 15:20:40","YJLDC76AR6","1",0.9768343,3.5242648,8.829816
70950,"2015-06-18 15:20:45","YJLDC76AR6","1",1.0342951,3.466804,8.848969
70955,"2015-06-18 15:20:50","YJLDC76AR6","1",1.3790601,2.9496565,8.983045
70960,"2015-06-18 15:20:55","YJLDC76AR6","1",0.5746084,3.7732618,8.619126
70965,"2015-06-18 15:21:00","YJLDC76AR6","1",0.82360536,3.3135753,8.983045
70969,"2015-06-18 15:21:06","YJLDC76AR6","1",1.0342951,3.064578,9.059659
70974,"2015-06-18 15:21:11","YJLDC76AR6","1",0.91937345,2.96881,9.174581
70979,"2015-06-18 15:21:16","YJLDC76AR6","1",1.6089035,3.4859576,8.676587
70984,"2015-06-18 15:21:21","YJLDC76AR6","1",1.3790601,3.5817258,8.963891
70989,"2015-06-18 15:21:26","YJLDC76AR6","1",1.1300632,3.8115692,8.676587
70993,"2015-06-18 15:21:31","YJLDC76AR6","1",1.1300632,3.8307228,8.6574335
70998,"2015-06-18 15:21:37","YJLDC76AR6","1",1.1683705,3.8115692,8.676587
71003,"2015-06-18 15:21:42","YJLDC76AR6","1",1.6280571,3.8498764,8.63828
71008,"2015-06-18 15:21:47","YJLDC76AR6","1",1.5705963,3.9839516,8.580819
71013,"2015-06-18 15:21:52","YJLDC76AR6","1",1.2258313,3.8115692,8.695741
71018,"2015-06-18 15:21:57","YJLDC76AR6","1",1.2641385,3.6966474,8.772355
71023,"2015-06-18 15:22:02","YJLDC76AR6","1",1.0151415,3.3327289,8.925584
71029,"2015-06-18 15:22:07","YJLDC76AR6","1",1.7429788,4.5394063,7.9870567
71034,"2015-06-18 15:22:13","YJLDC76AR6","1",1.0726024,4.2904096,8.082825
71039,"2015-06-18 15:22:18","YJLDC76AR6","1",1.283292,4.060566,8.6574335
71044,"2015-06-18 15:22:23","YJLDC76AR6","1",0.9576807,3.9839516,8.580819
71048,"2015-06-18 15:22:28","YJLDC76AR6","1",1.5131354,3.5625722,8.810662
71053,"2015-06-18 15:22:33","YJLDC76AR6","1",1.2258313,3.8307228,8.42759
71058,"2015-06-18 15:22:38","YJLDC76AR6","1",1.5705963,3.3901896,8.791509
71063,"2015-06-18 15:22:44","YJLDC76AR6","1",1.3790601,3.4476504,8.868123
71068,"2015-06-18 15:22:49","YJLDC76AR6","1",0.9959879,3.2561142,8.810662
71073,"2015-06-18 15:22:54","YJLDC76AR6","1",1.2641385,3.3518825,8.925584
71077,"2015-06-18 15:22:59","YJLDC76AR6","1",1.2258313,3.083732,8.983045
71082,"2015-06-18 15:23:04","YJLDC76AR6","1",0.90021986,2.6048915,9.11712
71087,"2015-06-18 15:23:09","YJLDC76AR6","1",1.2258313,3.7924154,8.829816
71092,"2015-06-18 15:23:14","YJLDC76AR6","1",0.40222588,3.6008794,8.63828
71097,"2015-06-18 15:23:20","YJLDC76AR6","1",1.2066777,2.2218192,9.308656
71102,"2015-06-18 15:23:25","YJLDC76AR6","1",1.0534488,3.7924154,8.7532015
71107,"2015-06-18 15:23:30","YJLDC76AR6","1",1.0342951,3.083732,8.810662
71112,"2015-06-18 15:23:35","YJLDC76AR6","1",1.4939818,3.715801,9.174581
71117,"2015-06-18 15:23:40","YJLDC76AR6","1",-2.1643584,2.719813,9.557653
71122,"2015-06-18 15:23:46","YJLDC76AR6","1",0.17238252,4.1946416,8.446744
71127,"2015-06-18 15:23:51","YJLDC76AR6","1",0.80445176,4.462792,8.312668
71131,"2015-06-18 15:23:56","YJLDC76AR6","1",0.8619126,4.3478703,8.389283
71136,"2015-06-18 15:24:01","YJLDC76AR6","1",0.78529817,4.4819455,8.37013
71141,"2015-06-18 15:24:06","YJLDC76AR6","1",1.1109096,4.3861775,8.350976
71146,"2015-06-18 15:24:11","YJLDC76AR6","1",0.9959879,4.4819455,8.389283
71151,"2015-06-18 15:24:17","YJLDC76AR6","1",0.47884035,4.5202527,8.293514
71155,"2015-06-18 15:24:22","YJLDC76AR6","1",-0.7469909,4.405331,7.680599
71160,"2015-06-18 15:24:27","YJLDC76AR6","1",-1.2258313,5.3438582,8.829816
71165,"2015-06-18 15:24:32","YJLDC76AR6","1",-0.7469909,5.2863975,7.565677
71170,"2015-06-18 15:24:37","YJLDC76AR6","1",-0.47884035,5.3821654,7.5848308
71175,"2015-06-18 15:24:43","YJLDC76AR6","1",-0.8810662,5.6886234,7.240066
71180,"2015-06-18 15:24:48","YJLDC76AR6","1",-0.6895301,5.899313,7.0485296
71185,"2015-06-18 15:24:53","YJLDC76AR6","1",0.51714754,5.45878,7.565677
71190,"2015-06-18 15:24:58","YJLDC76AR6","1",0.34476504,5.3247046,7.7189064
71195,"2015-06-18 15:25:03","YJLDC76AR6","1",0.9959879,5.5162406,7.201759
71200,"2015-06-18 15:25:09","YJLDC76AR6","1",1.0726024,4.960786,8.0445175
71205,"2015-06-18 15:25:14","YJLDC76AR6","1",0.19153613,4.596867,8.389283
71210,"2015-06-18 15:25:19","YJLDC76AR6","1",-0.15322891,4.3861775,8.350976
71215,"2015-06-18 15:25:24","YJLDC76AR6","1",-0.2681506,4.6160207,7.7189064
71221,"2015-06-18 15:25:29","YJLDC76AR6","1",-1.2258313,4.673482,8.159439
71224,"2015-06-18 15:25:34","YJLDC76AR6","1",0.1340753,4.8841715,7.8912888
71229,"2015-06-18 15:25:39","YJLDC76AR6","1",-0.095768064,4.960786,7.642292
71234,"2015-06-18 15:25:45","YJLDC76AR6","1",0.32561144,5.171476,7.929596
71239,"2015-06-18 15:25:50","YJLDC76AR6","1",0.47884035,5.056554,7.9104424
71244,"2015-06-18 15:25:55","YJLDC76AR6","1",0.93852705,4.960786,7.967903
71249,"2015-06-18 15:26:00","YJLDC76AR6","1",0.93852705,4.8841715,8.121132
71254,"2015-06-18 15:26:05","YJLDC76AR6","1",1.1875241,2.7006595,9.11712
71259,"2015-06-18 15:26:10","YJLDC76AR6","1",1.1109096,2.4133554,9.212888
71263,"2015-06-18 15:26:15","YJLDC76AR6","1",1.1683705,2.3558946,9.212888
71268,"2015-06-18 15:26:21","YJLDC76AR6","1",0.9768343,2.5091233,9.155427
71272,"2015-06-18 15:26:26","YJLDC76AR6","1",0.9959879,2.432509,9.174581
71276,"2015-06-18 15:26:31","YJLDC76AR6","1",1.0151415,2.3750482,9.136273
71281,"2015-06-18 15:26:36","YJLDC76AR6","1",0.9576807,2.3750482,9.270349
71286,"2015-06-18 15:26:41","YJLDC76AR6","1",0.842759,2.432509,9.212888
71290,"2015-06-18 15:26:46","YJLDC76AR6","1",0.82360536,2.432509,9.289502
71294,"2015-06-18 15:26:52","YJLDC76AR6","1",0.7469909,2.4708161,9.3661175
71298,"2015-06-18 15:26:57","YJLDC76AR6","1",0.7086837,2.719813,9.097966
71303,"2015-06-18 15:27:02","YJLDC76AR6","1",0.80445176,2.6431987,9.270349
71308,"2015-06-18 15:27:07","YJLDC76AR6","1",1.091756,2.777274,9.308656
71312,"2015-06-18 15:27:12","YJLDC76AR6","1",0.6895301,2.777274,9.002198
71316,"2015-06-18 15:27:17","YJLDC76AR6","1",-0.30645782,3.2561142,8.983045
71321,"2015-06-18 15:27:22","YJLDC76AR6","1",2.3558946,2.1452048,9.212888
71326,"2015-06-18 15:27:27","YJLDC76AR6","1",1.4939818,2.1068976,9.346964
71336,"2015-06-18 15:27:32","YJLDC76AR6","1",1.4173675,2.2984335,9.32781
71341,"2015-06-18 15:27:37","YJLDC76AR6","1",1.4556746,2.2601264,9.212888
71345,"2015-06-18 15:27:42","YJLDC76AR6","1",1.5131354,2.3942018,9.270349
71350,"2015-06-18 15:27:47","YJLDC76AR6","1",1.2641385,2.336741,9.251195
71354,"2015-06-18 15:27:52","YJLDC76AR6","1",1.3215994,2.27928,9.615114
71359,"2015-06-18 15:27:58","YJLDC76AR6","1",2.1068976,2.7006595,8.599973
71364,"2015-06-18 15:28:03","YJLDC76AR6","1",1.5131354,4.3478703,7.603985
71369,"2015-06-18 15:28:08","YJLDC76AR6","1",1.5131354,4.175488,8.485051
71374,"2015-06-18 15:28:13","YJLDC76AR6","1",1.5897499,3.6583402,8.485051
71379,"2015-06-18 15:28:18","YJLDC76AR6","1",0.4405331,4.8841715,7.086837
71384,"2015-06-18 15:28:23","YJLDC76AR6","1",1.340753,4.2904096,8.408437
71389,"2015-06-18 15:28:29","YJLDC76AR6","1",1.091756,4.5202527,8.350976
71394,"2015-06-18 15:28:34","YJLDC76AR6","1",1.3599066,4.156334,8.7532015
71399,"2015-06-18 15:28:39","YJLDC76AR6","1",1.6089035,2.7964275,8.983045
71403,"2015-06-18 15:28:44","YJLDC76AR6","1",1.4556746,2.815581,9.040505
71407,"2015-06-18 15:28:49","YJLDC76AR6","1",1.3982137,2.8538885,9.136273
71412,"2015-06-18 15:28:54","YJLDC76AR6","1",1.091756,3.1028855,9.059659
71417,"2015-06-18 15:28:59","YJLDC76AR6","1",0.8810662,3.371036,8.42759
71421,"2015-06-18 15:29:05","YJLDC76AR6","1",0.30645782,3.2561142,8.772355
71425,"2015-06-18 15:29:10","YJLDC76AR6","1",0.30645782,3.217807,8.944737
71430,"2015-06-18 15:29:15","YJLDC76AR6","1",1.6280571,3.7349546,8.848969
71434,"2015-06-18 15:29:20","YJLDC76AR6","1",3.1411927,3.9264908,8.255207
71439,"2015-06-18 15:29:25","YJLDC76AR6","1",3.1028855,4.596867,7.201759
71444,"2015-06-18 15:29:31","YJLDC76AR6","1",2.2984335,4.960786,6.6846113
71449,"2015-06-18 15:29:36","YJLDC76AR6","1",1.5514427,4.213795,9.902418
71454,"2015-06-18 15:29:41","YJLDC76AR6","1",2.873042,4.8267107,7.833828
71459,"2015-06-18 15:29:46","YJLDC76AR6","1",2.4133554,4.711789,8.101978
71464,"2015-06-18 15:29:51","YJLDC76AR6","1",2.6240451,4.3861775,8.159439
71468,"2015-06-18 15:29:57","YJLDC76AR6","1",2.719813,4.1371803,8.293514
71473,"2015-06-18 15:30:02","YJLDC76AR6","1",2.7964275,4.1180267,8.255207
71478,"2015-06-18 15:30:07","YJLDC76AR6","1",2.9496565,3.9839516,8.42759
71483,"2015-06-18 15:30:12","YJLDC76AR6","1",2.7964275,3.8881836,8.504205
71488,"2015-06-18 15:30:17","YJLDC76AR6","1",0.9768343,4.6160207,8.695741
71493,"2015-06-18 15:30:22","YJLDC76AR6","1",1.5131354,4.003105,8.714894
71498,"2015-06-18 15:30:27","YJLDC76AR6","1",0.5746084,5.056554,7.8529816
71503,"2015-06-18 15:30:32","YJLDC76AR6","1",2.3942018,4.462792,8.025364
71508,"2015-06-18 15:30:38","YJLDC76AR6","1",1.1300632,4.5777135,8.312668
71512,"2015-06-18 15:30:43","YJLDC76AR6","1",0.7086837,3.9456444,8.772355
71517,"2015-06-18 15:30:48","YJLDC76AR6","1",0.5746084,4.0222588,8.810662
71522,"2015-06-18 15:30:53","YJLDC76AR6","1",0.842759,3.4859576,8.810662
71527,"2015-06-18 15:30:58","YJLDC76AR6","1",1.0151415,2.566584,8.6574335
71532,"2015-06-18 15:31:03","YJLDC76AR6","1",2.4516625,4.5202527,8.121132
71537,"2015-06-18 15:31:09","YJLDC76AR6","1",1.2066777,1.2066777,10.055647
71543,"2015-06-18 15:31:14","YJLDC76AR6","1",2.1260512,2.719813,9.481039
71548,"2015-06-18 15:31:19","YJLDC76AR6","1",1.6280571,3.715801,8.7532015
71553,"2015-06-18 15:31:24","YJLDC76AR6","1",1.3024458,3.1411927,8.925584
71558,"2015-06-18 15:31:29","YJLDC76AR6","1",0.90021986,3.122039,9.078813
71563,"2015-06-18 15:31:35","YJLDC76AR6","1",1.5514427,2.432509,9.212888
71568,"2015-06-18 15:31:40","YJLDC76AR6","1",0.7469909,2.719813,9.442732
71573,"2015-06-18 15:31:45","YJLDC76AR6","1",1.0342951,2.1068976,9.346964
71578,"2015-06-18 15:31:50","YJLDC76AR6","1",0.9768343,2.5091233,9.232041
71583,"2015-06-18 15:31:55","YJLDC76AR6","1",0.9959879,2.5091233,9.212888
71587,"2015-06-18 15:32:00","YJLDC76AR6","1",0.5746084,2.7389667,9.078813
71592,"2015-06-18 15:32:05","YJLDC76AR6","1",0.93852705,2.7581203,9.040505
71597,"2015-06-18 15:32:10","YJLDC76AR6","1",1.0151415,2.528277,9.251195
71602,"2015-06-18 15:32:15","YJLDC76AR6","1",1.1875241,2.681506,9.174581
71607,"2015-06-18 15:32:21","YJLDC76AR6","1",-0.19153613,3.0454245,10.496181
71612,"2015-06-18 15:32:26","YJLDC76AR6","1",0.095768064,4.175488,7.9104424
71617,"2015-06-18 15:32:31","YJLDC76AR6","1",-0.076614454,4.807557,8.293514
71622,"2015-06-18 15:32:36","YJLDC76AR6","1",0.80445176,3.9456444,8.619126
71627,"2015-06-18 15:32:41","YJLDC76AR6","1",1.2449849,3.5434184,8.944737
71632,"2015-06-18 15:32:47","YJLDC76AR6","1",0.7086837,3.7349546,8.619126
71638,"2015-06-18 15:32:52","YJLDC76AR6","1",0.22984336,3.6774938,8.772355
71643,"2015-06-18 15:32:57","YJLDC76AR6","1",0.9576807,3.5242648,8.868123
71648,"2015-06-18 15:33:02","YJLDC76AR6","1",-0.019153614,3.7541082,8.887277
71653,"2015-06-18 15:33:08","YJLDC76AR6","1",-0.1340753,3.6391866,8.714894
71658,"2015-06-18 15:33:13","YJLDC76AR6","1",0.5363012,3.5434184,8.810662
71664,"2015-06-18 15:34:25","YJLDC76AR6","1",1.1109096,3.217807,9.059659
71670,"2015-06-18 15:34:31","YJLDC76AR6","1",0.9768343,5.1140146,7.929596
71675,"2015-06-18 15:34:36","YJLDC76AR6","1",0.5746084,4.213795,8.2169
71680,"2015-06-18 15:34:41","YJLDC76AR6","1",0.7469909,4.4819455,8.255207
71685,"2015-06-18 15:34:46","YJLDC76AR6","1",1.0342951,4.4244847,8.37013
71690,"2015-06-18 15:34:51","YJLDC76AR6","1",0.82360536,4.9224787,8.255207
71695,"2015-06-18 15:34:56","YJLDC76AR6","1",0.78529817,4.865018,8.121132
71699,"2015-06-18 15:35:01","YJLDC76AR6","1",1.1683705,4.865018,8.159439
71704,"2015-06-18 15:35:06","YJLDC76AR6","1",1.0726024,4.5777135,8.121132
71709,"2015-06-18 15:35:12","YJLDC76AR6","1",1.0726024,4.6351743,8.255207
71714,"2015-06-18 15:35:17","YJLDC76AR6","1",0.93852705,4.7500963,8.159439
71718,"2015-06-18 15:35:22","YJLDC76AR6","1",0.8810662,4.807557,8.063671
71724,"2015-06-18 15:35:27","YJLDC76AR6","1",0.9768343,5.0182467,8.0445175
71727,"2015-06-18 15:35:32","YJLDC76AR6","1",0.7661445,5.1906295,7.9487495
71732,"2015-06-18 15:35:37","YJLDC76AR6","1",0.6703765,5.2480903,7.8146744
71736,"2015-06-18 15:35:42","YJLDC76AR6","1",0.7278373,5.2289367,7.603985
71741,"2015-06-18 15:35:47","YJLDC76AR6","1",0.6512229,4.9416323,8.389283
71746,"2015-06-18 15:35:52","YJLDC76AR6","1",0.7469909,4.7500963,8.101978
71750,"2015-06-18 15:35:57","YJLDC76AR6","1",0.6703765,4.7884035,8.121132
71754,"2015-06-18 15:36:02","YJLDC76AR6","1",0.5746084,4.76925,8.121132
71758,"2015-06-18 15:36:07","YJLDC76AR6","1",0.51714754,4.807557,8.063671
71762,"2015-06-18 15:36:13","YJLDC76AR6","1",0.63206923,4.76925,8.121132
71767,"2015-06-18 15:36:18","YJLDC76AR6","1",0.59376204,4.807557,8.159439
71772,"2015-06-18 15:36:23","YJLDC76AR6","1",0.47884035,4.8841715,8.1402855
71777,"2015-06-18 15:36:28","YJLDC76AR6","1",0.5746084,4.76925,8.1402855
71782,"2015-06-18 15:36:33","YJLDC76AR6","1",0.59376204,4.5394063,8.312668
71786,"2015-06-18 15:36:38","YJLDC76AR6","1",0.5746084,4.3478703,8.389283
71790,"2015-06-18 15:36:44","YJLDC76AR6","1",0.63206923,4.3861775,8.331821
71795,"2015-06-18 15:36:49","YJLDC76AR6","1",0.7086837,4.596867,8.255207
71799,"2015-06-18 15:36:54","YJLDC76AR6","1",0.91937345,4.271256,8.446744
71803,"2015-06-18 15:36:59","YJLDC76AR6","1",0.78529817,4.2904096,8.408437
71808,"2015-06-18 15:37:04","YJLDC76AR6","1",0.6703765,4.807557,8.1402855
71813,"2015-06-18 15:37:09","YJLDC76AR6","1",0.7086837,5.1906295,7.9870567
71816,"2015-06-18 15:37:14","YJLDC76AR6","1",0.7661445,5.171476,7.929596
71821,"2015-06-18 15:37:19","YJLDC76AR6","1",0.80445176,5.056554,7.929596
71826,"2015-06-18 15:37:25","YJLDC76AR6","1",0.7469909,5.1523223,7.9104424
71831,"2015-06-18 15:37:30","YJLDC76AR6","1",0.8810662,5.0182467,7.8912888
71836,"2015-06-18 15:37:35","YJLDC76AR6","1",0.7278373,5.133168,7.9870567
71839,"2015-06-18 15:37:40","YJLDC76AR6","1",0.80445176,5.2863975,7.872135
71843,"2015-06-18 15:37:45","YJLDC76AR6","1",0.9768343,5.0757074,7.795521
71847,"2015-06-18 15:37:50","YJLDC76AR6","1",0.91937345,5.209783,7.929596
71852,"2015-06-18 15:37:55","YJLDC76AR6","1",1.4939818,4.807557,7.8912888
71856,"2015-06-18 15:38:00","YJLDC76AR6","1",1.091756,5.094861,7.872135
71860,"2015-06-18 15:38:05","YJLDC76AR6","1",1.0151415,5.0757074,7.9104424
71864,"2015-06-18 15:38:11","YJLDC76AR6","1",1.0151415,5.133168,7.795521
71868,"2015-06-18 15:38:16","YJLDC76AR6","1",0.93852705,5.171476,7.833828
71872,"2015-06-18 15:38:21","YJLDC76AR6","1",0.82360536,5.2480903,7.8529816
71876,"2015-06-18 15:38:26","YJLDC76AR6","1",0.8619126,5.2289367,7.872135
71880,"2015-06-18 15:38:31","YJLDC76AR6","1",0.82360536,5.2289367,7.8912888
71885,"2015-06-18 15:38:36","YJLDC76AR6","1",0.93852705,5.171476,7.8529816
71890,"2015-06-18 15:38:41","YJLDC76AR6","1",1.1109096,4.673482,8.293514
71894,"2015-06-18 15:38:47","YJLDC76AR6","1",0.8619126,4.596867,8.331821
71899,"2015-06-18 15:38:52","YJLDC76AR6","1",0.5363012,5.171476,7.8912888
71903,"2015-06-18 15:38:57","YJLDC76AR6","1",0.6512229,4.9416323,8.025364
71908,"2015-06-18 15:39:02","YJLDC76AR6","1",0.7661445,4.76925,8.063671
71913,"2015-06-18 15:39:07","YJLDC76AR6","1",0.93852705,4.55856,8.197746
71918,"2015-06-18 15:39:12","YJLDC76AR6","1",1.1300632,4.3287168,8.236053
71924,"2015-06-18 15:39:18","YJLDC76AR6","1",1.0534488,4.405331,8.42759
71929,"2015-06-18 15:39:23","YJLDC76AR6","1",1.1492168,4.3478703,8.561666
71933,"2015-06-18 15:39:28","YJLDC76AR6","1",1.0726024,4.309563,8.465898
